date,open,high,low,close,volume,amount,turnover,adj_close_hfq
2024-09-30,1692.0,1759.88,1652.0,1748.0,157293,26982747037.0,1.25,9869.1
2024-10-08,1910.0,1910.0,1680.18,1723.0,194709,35114075007.0,1.55,9743.48
2024-10-09,1700.0,1700.0,1590.0,1595.15,120197,19708432734.0,0.96,9101.06
2024-10-10,1622.26,1668.08,1591.0,1640.0,74603,12198964035.0,0.59,9326.42
2024-10-11,1615.4,1639.96,1590.0,1604.99,41915,6764982707.0,0.33,9150.5
2024-10-14,1613.0,1620.63,1581.17,1601.99,44812,7181350822.0,0.36,9135.43
2024-10-15,1599.0,1600.99,1553.01,1554.25,43571,6884141869.0,0.35,8895.54
2024-10-16,1540.88,1549.8,1510.0,1522.5,46664,7140169692.0,0.37,8736.01
2024-10-17,1537.0,1537.66,1493.41,1494.6,39460,5964778958.0,0.31,8595.82
2024-10-18,1493.0,1567.84,1478.96,1541.0,68619,10418043492.0,0.55,8828.97
2024-10-21,1541.21,1549.97,1521.21,1528.8,42008,6433918335.0,0.33,8767.66
2024-10-22,1526.56,1560.18,1524.2,1543.0,36269,5607826492.0,0.29,8839.02
2024-10-23,1544.11,1576.95,1532.0,1567.5,40088,6259600035.0,0.32,8962.12
2024-10-24,1561.0,1575.0,1545.01,1552.2,23923,3723973209.0,0.19,8885.24
2024-10-25,1547.0,1574.79,1546.01,1558.85,27745,4328271351.0,0.22,8918.66
2024-10-28,1560.0,1565.0,1522.23,1565.0,39121,6064453668.0,0.31,8949.56
2024-10-29,1560.0,1580.0,1530.0,1531.62,41166,6368105233.0,0.33,8781.83
2024-10-30,1525.0,1551.19,1523.41,1532.0,32006,4913175983.0,0.25,8783.74
2024-10-31,1532.15,1540.0,1520.0,1527.79,29957,4575545180.0,0.24,8762.59
2024-11-01,1521.0,1545.13,1520.8,1533.75,32284,4954302212.0,0.26,8792.54
2024-11-04,1544.93,1550.0,1528.06,1548.2,29093,4481761764.0,0.23,8865.14
2024-11-05,1540.0,1577.7,1536.01,1576.99,45640,7134443464.0,0.36,9009.81
2024-11-06,1575.0,1588.99,1561.22,1571.0,37631,5916917616.0,0.3,8979.71
2024-11-07,1562.46,1653.5,1562.3,1649.14,74739,12074951757.0,0.59,9372.35
2024-11-08,1660.89,1667.11,1601.01,1609.97,60771,9885645907.0,0.48,9175.53
2024-11-11,1590.0,1609.95,1567.19,1598.01,43854,6957095385.0,0.35,9115.43
2024-11-12,1589.0,1623.0,1573.95,1577.2,49223,7844798676.0,0.39,9010.86
2024-11-13,1568.0,1586.66,1561.28,1578.5,29125,4594445032.0,0.23,9017.4
2024-11-14,1570.0,1594.45,1565.65,1573.8,29248,4617144097.0,0.23,8993.78
2024-11-15,1569.0,1583.8,1553.0,1559.0,33761,5295326892.0,0.27,8919.41
2024-11-18,1562.0,1575.99,1555.0,1559.0,27092,4237197499.0,0.22,8919.41
2024-11-19,1565.0,1569.37,1525.0,1541.92,33266,5138831155.0,0.26,8833.59
2024-11-20,1543.0,1553.97,1531.3,1544.81,21345,3292675257.0,0.17,8848.11
2024-11-21,1543.87,1548.99,1532.0,1545.13,18262,2810933515.0,0.15,8849.72
2024-11-22,1541.15,1547.77,1507.82,1507.82,33436,5107288992.0,0.27,8662.24
2024-11-25,1511.0,1532.0,1496.67,1498.57,33186,5011136234.0,0.26,8615.76
2024-11-26,1498.57,1518.88,1488.88,1509.0,25745,3876885984.0,0.2,8668.17
2024-11-27,1509.0,1522.15,1505.0,1519.05,25934,3927607772.0,0.21,8718.67
2024-11-28,1522.0,1524.99,1502.0,1518.0,23952,3627662382.0,0.19,8713.4
2024-11-29,1517.0,1555.0,1513.21,1525.74,36088,5534035503.0,0.29,8752.29
2024-12-02,1526.0,1529.99,1515.1,1525.0,26820,4086609952.0,0.21,8748.57
2024-12-03,1524.0,1528.9,1516.08,1526.74,24807,3777197199.0,0.2,8757.31
2024-12-04,1520.07,1523.66,1510.0,1520.0,23924,3626565544.0,0.19,8723.45
2024-12-05,1510.86,1517.86,1510.0,1511.0,16141,2441318387.0,0.13,8678.22
2024-12-06,1513.0,1538.9,1508.07,1521.01,32040,4883148600.0,0.26,8728.52
2024-12-09,1522.02,1529.72,1513.2,1518.8,19800,3008173586.0,0.16,8717.42
2024-12-10,1570.0,1579.73,1545.18,1546.59,60312,9421340719.0,0.48,8857.05
2024-12-11,1540.0,1555.0,1530.98,1535.6,29671,4569662604.0,0.24,8801.83
2024-12-12,1532.02,1566.0,1529.0,1565.8,41937,6510547810.0,0.33,8953.58
2024-12-13,1550.01,1554.99,1518.88,1519.0,49512,7580908315.0,0.39,8718.42
2024-12-16,1521.0,1529.0,1510.71,1527.2,32537,4945298799.0,0.26,8759.62
2024-12-17,1525.99,1569.0,1521.01,1558.0,54172,8398945449.0,0.43,8914.39
2024-12-18,1557.97,1577.0,1547.1,1571.5,41162,6440801971.0,0.33,8982.22
2024-12-19,1565.14,1567.93,1550.33,1551.01,24809,3862602665.0,0.2,8879.26
2024-12-20,1531.13,1541.8,1520.02,1522.0,28158,4307425535.0,0.22,8853.5
2024-12-23,1523.0,1538.0,1517.0,1526.45,21603,3300971424.0,0.17,8875.86
2024-12-24,1525.0,1544.0,1521.59,1538.82,22105,3394160299.0,0.18,8938.01
2024-12-25,1538.8,1538.8,1526.1,1530.0,17123,2621061878.0,0.14,8893.7
2024-12-26,1534.0,1538.78,1523.0,1527.79,18287,2798840003.0,0.15,8882.59
2024-12-27,1528.9,1536.0,1519.5,1528.97,20759,3170191445.0,0.17,8888.52
2024-12-30,1533.97,1543.96,1525.0,1525.0,25130,3849542646.0,0.2,8868.57
2024-12-31,1525.4,1545.0,1522.01,1524.0,39354,6033540366.0,0.31,8863.55
2025-01-02,1524.0,1524.49,1480.0,1488.0,50029,7490883773.0,0.4,8682.65
2025-01-03,1494.5,1494.99,1467.01,1475.0,32628,4836610288.0,0.26,8617.33
2025-01-06,1453.0,1462.66,1432.8,1440.0,44255,6392479712.0,0.35,8441.46
2025-01-07,1444.66,1451.89,1439.0,1440.2,24221,3494634227.0,0.19,8442.47
2025-01-08,1440.0,1451.82,1426.66,1442.5,35258,5071821246.0,0.28,8454.03
2025-01-09,1448.99,1464.58,1432.98,1444.0,29706,4295852736.0,0.24,8461.56
2025-01-10,1447.1,1451.95,1436.0,1436.0,21872,3154677598.0,0.17,8421.37
2025-01-13,1425.0,1444.44,1422.01,1443.98,21083,3030806870.0,0.17,8461.46
2025-01-14,1444.95,1478.68,1442.0,1472.5,30957,4535651504.0,0.25,8604.77
2025-01-15,1467.0,1474.6,1460.01,1471.27,18399,2701518712.0,0.15,8598.59
2025-01-16,1474.0,1482.66,1442.0,1446.38,26342,3840411437.0,0.21,8473.52
2025-01-17,1446.39,1461.0,1446.38,1454.75,18309,2663227309.0,0.15,8515.58
2025-01-20,1461.0,1489.79,1460.0,1474.8,31410,4647626351.0,0.25,8616.33
2025-01-21,1481.0,1482.0,1465.0,1468.15,16856,2481821229.0,0.13,8582.91
