成份券代码Constituent Code;成份券名称Constituent Name;权重(%)weight
600519;贵州茅台;4,129
300750;宁德时代;3,233
601318;中国平安;2,921
600036;招商银行;2,546
601166;兴业银行;1,74
000333;美的集团;1,596
600900;长江电力;1,575
601899;紫金矿业;1,459
300059;东方财富;1,358
002594;比亚迪;1,322
600030;中信证券;1,31
600276;恒瑞医药;1,299
601398;工商银行;1,225
603259;药明康德;1,113
000858;五 粮 液;1,087
601211;国泰海通;1,061
000651;格力电器;0,945
601328;交通银行;0,944
601288;农业银行;0,93
300308;中际旭创;0,894
300502;新易盛;0,868
002475;立讯精密;0,859
688981;中芯国际;0,823
600887;伊利股份;0,802
600919;江苏银行;0,767
601816;京沪高铁;0,733
600000;浦发银行;0,695
000725;京东方A;0,686
688256;寒武纪;0,685
002371;北方华创;0,671
300760;迈瑞医疗;0,648
601138;工业富联;0,636
688041;海光信息;0,598
601601;中国太保;0,593
002714;牧原股份;0,586
601088;中国神华;0,582
600016;民生银行;0,561
300124;汇川技术;0,553
000001;平安银行;0,549
600031;三一重工;0,547
600309;万华化学;0,543
601668;中国建筑;0,541
601728;中国电信;0,538
002230;科大讯飞;0,521
002352;顺丰控股;0,512
000063;中兴通讯;0,511
300274;阳光电源;0,483
002415;海康威视;0,48
601127;赛力斯;0,479
603501;豪威集团;0,478
601688;华泰证券;0,474
601229;上海银行;0,47
603019;中科曙光;0,467
601857;中国石油;0,465
601919;中远海控;0,456
600941;中国移动;0,453
688008;澜起科技;0,45
601012;隆基绿能;0,442
601169;北京银行;0,441
600111;北方稀土;0,439
600690;海尔智家;0,431
002142;宁波银行;0,426
300498;温氏股份;0,426
000568;泸州老窖;0,418
601766;中国中车;0,416
600406;国电南瑞;0,406
600028;中国石化;0,405
600660;福耀玻璃;0,405
600809;山西汾酒;0,404
000100;TCL科技;0,402
688012;中微公司;0,4
601009;南京银行;0,394
600050;中国联通;0,387
000338;潍柴动力;0,379
600926;杭州银行;0,377
603986;兆易创新;0,372
601939;建设银行;0,369
600104;上汽集团;0,368
601988;中国银行;0,367
601006;大秦铁路;0,366
601225;陕西煤业;0,361
600150;中国船舶;0,355
002027;分众传媒;0,351
002463;沪电股份;0,35
601985;中国核电;0,35
601818;光大银行;0,348
688111;金山办公;0,336
600760;中航沈飞;0,33
000425;徐工机械;0,319
600089;特变电工;0,316
601628;中国人寿;0,315
000792;盐湖股份;0,309
600999;招商证券;0,307
688271;联影医疗;0,305
600019;宝钢股份;0,297
603288;海天味业;0,296
000625;长安汽车;0,295
601658;邮储银行;0,293
601888;中国中免;0,293
603993;洛阳钼业;0,29
600938;中国海油;0,289
600905;三峡能源;0,287
300033;同花顺;0,282
600010;包钢股份;0,282
600436;片仔癀;0,278
603799;华友钴业;0,278
300015;爱尔眼科;0,277
002050;三花智控;0,274
600958;东方证券;0,272
601600;中国铝业;0,272
601669;中国电建;0,272
605499;东鹏饮料;0,271
600415;小商品城;0,27
601390;中国中铁;0,27
000977;浪潮信息;0,266
600048;保利发展;0,265
000776;广发证券;0,262
600585;海螺水泥;0,261
600893;航发动力;0,261
002241;歌尔股份;0,26
